day,h1_diff,day_diff,day_high,day_low,
2021/3/1,466171,43,91,2585,2494,
2021/3/2,505973,47,70,2540,2470,
2021/3/3,304835,31,54,2559,2505,
2021/3/4,253861,33,53,2558,2505,
2021/3/5,398174,44,80,2581,2501,
2021/3/8,326691,41,69,2681,2612,
2021/3/9,212492,24,59,2633,2574,
2021/3/10,201013,23,62,2521,2459,
2021/3/11,285789,47,48,2469,2421,
2021/3/12,221452,36,51,2484,2433,
2021/3/15,255489,28,73,2485,2412,
2021/3/16,250680,33,34,2475,2441,
2021/3/17,165239,25,44,2450,2406,
2021/3/18,334907,38,50,2426,2376,
2021/3/19,294702,41,88,2376,2288,
2021/3/22,241521,37,38,2346,2308,
2021/3/23,105514,14,38,2365,2327,
2021/3/24,284403,34,34,2368,2334,
2021/3/25,264834,38,42,2360,2318,
2021/3/26,149662,17,32,2366,2334,
2021/3/29,192985,19,37,2398,2361,
2021/3/30,191806,16,29,2443,2414,
2021/3/31,163501,19,55,2430,2375,
2021/4/1,158242,22,36,2396,2360,
2021/4/2,277347,49,79,2442,2363,
2021/4/6,322158,51,51,2466,2415,
2021/4/7,155712,23,28,2480,2452,
2021/4/8,97348,14,38,2468,2430,
2021/4/9,156435,25,64,2485,2421,
2021/4/12,418794,75,103,2447,2344,
2021/4/13,123678,18,38,2394,2356,
2021/4/14,95580,24,45,2435,2390,
2021/4/15,82224,16,60,2481,2421,
2021/4/16,387673,55,55,2470,2415,
2021/4/19,210198,26,31,2475,2444,
2021/4/20,198703,27,40,2479,2439,
2021/4/21,268138,31,35,2426,2391,
2021/4/22,200280,17,37,2425,2388,
2021/4/23,250515,25,45,2407,2362,
2021/4/26,317534,29,53,2460,2407,
2021/4/27,168804,15,42,2479,2437,
2021/4/28,390217,37,44,2442,2398,
2021/4/29,226772,24,48,2469,2421,
2021/4/30,164365,23,32,2464,2432,
2021/5/6,424834,64,95,2543,2448,
2021/5/7,257440,36,59,2580,2521,
2021/5/10,472951,50,50,2612,2562,
2021/5/11,190085,28,70,2588,2518,
2021/5/12,353454,40,132,2707,2575,
2021/5/13,561030,96,169,2852,2683,
2021/5/14,560340,82,167,2807,2640,
2021/5/17,516398,60,96,2755,2659,
2021/5/18,293965,32,70,2723,2653,
2021/5/19,325464,41,50,2670,2620,
2021/5/20,298463,31,64,2582,2518,
2021/5/21,251295,36,52,2538,2486,
2021/5/24,521020,60,84,2595,2511,
2021/5/25,228309,26,57,2623,2566,
2021/5/26,200372,26,152,2696,2544,
2021/5/27,273267,22,76,2642,2566,
2021/5/28,399923,35,83,2636,2553,
2021/5/31,362872,42,63,2605,2542,
2021/6/1,237939,27,37,2575,2538,
2021/6/2,457431,51,68,2563,2495,
2021/6/3,229316,20,47,2563,2516,
2021/6/4,257587,26,39,2535,2496,
2021/6/7,453486,58,83,2520,2437,
2021/6/8,299786,25,36,2448,2412,
2021/6/9,219518,28,40,2466,2426,
2021/6/10,290751,28,45,2473,2428,
2021/6/11,199679,21,43,2467,2424,
2021/6/15,452175,32,83,2517,2434,
2021/6/16,240379,24,29,2535,2506,
2021/6/17,293954,24,32,2519,2487,
2021/6/18,384123,27,45,2485,2440,
2021/6/21,200887,20,43,2475,2432,
2021/6/22,295846,32,72,2533,2461,
2021/6/23,272893,38,65,2589,2524,
2021/6/24,193710,21,36,2588,2552,
2021/6/25,226013,31,37,2596,2559,
2021/6/28,377530,47,49,2564,2515,
2021/6/29,183876,16,29,2565,2536,
2021/6/30,475146,37,74,2630,2556,
2021/7/1,190218,28,39,2595,2556,
2021/7/2,219863,21,38,2597,2559,
2021/7/5,311307,36,39,2650,2611,
2021/7/6,263424,18,40,2658,2618,
2021/7/7,212309,17,37,2569,2532,
2021/7/8,171137,20,37,2557,2520,
2021/7/9,149363,12,63,2595,2532,
2021/7/12,249705,33,37,2635,2598,
2021/7/13,179612,23,33,2648,2615,
2021/7/14,148106,16,54,2675,2621,
2021/7/15,341801,27,41,2645,2604,
2021/7/16,211524,22,49,2729,2680,
2021/7/19,286808,50,71,2755,2684,
2021/7/20,195493,33,57,2748,2691,
2021/7/21,202958,22,59,2722,2663,
2021/7/22,370029,60,68,2778,2710,
2021/7/23,202024,23,77,2764,2687,
2021/7/26,277058,32,47,2699,2652,
2021/7/27,162035,22,36,2695,2659,
2021/7/28,203382,30,41,2665,2624,
2021/7/29,217361,27,36,2688,2652,
2021/7/30,204909,20,67,2787,2720,
2021/8/2,411438,61,74,2755,2681,
2021/8/3,186936,21,58,2671,2613,
2021/8/4,154205,18,25,2646,2621,
2021/8/5,208414,31,49,2662,2613,
2021/8/6,188865,28,65,2647,2582,
2021/8/9,359677,46,48,2605,2557,
2021/8/10,125220,17,52,2645,2593,
2021/8/11,104802,14,22,2670,2648,
2021/8/12,173572,27,36,2704,2668,
2021/8/13,73739,11,19,2689,2670,
2021/8/16,205571,39,66,2876,2810,
2021/8/17,161326,21,41,2873,2832,
2021/8/18,247416,36,52,2894,2842,
2021/8/19,274209,46,46,2843,2797,
2021/8/20,145962,22,35,2812,2777,
2021/8/23,356967,72,145,2925,2780,
2021/8/24,183175,22,92,2914,2822,
2021/8/25,196418,25,33,2879,2846,
2021/8/26,127622,16,48,2833,2785,
2021/8/27,189020,28,28,2822,2794,
2021/8/30,183299,19,40,2824,2784,
2021/8/31,136704,20,59,2830,2771,
2021/9/1,155155,20,99,2860,2761,
2021/9/2,190907,31,70,2902,2832,
2021/9/3,149309,20,35,2902,2867,
2021/9/6,268937,40,49,2932,2883,
2021/9/7,201684,27,98,3065,2967,
2021/9/8,178890,21,71,3079,3008,
2021/9/9,179538,22,81,3117,3036,
2021/9/10,231439,39,106,3108,3002,
2021/9/13,408458,51,109,3144,3035,
2021/9/14,261505,35,69,3059,2990,
2021/9/15,458619,86,139,3112,2973,
2021/9/16,279925,37,94,3205,3111,
2021/9/17,261143,53,129,3141,3012,
2021/9/22,621571,107,130,3157,3027,
2021/9/23,606913,130,163,3275,3112,
2021/9/24,383107,50,117,3282,3165,
2021/9/27,717690,152,152,3462,3310,
2021/9/28,491033,70,147,3575,3428,
2021/9/29,381401,59,116,3546,3430,
2021/9/30,248538,42,290,3781,3491,
2021/10/8,742477,252,263,3852,3589,
2021/10/11,661256,108,108,4013,3905,
2021/10/12,867689,234,234,4235,4001,
2021/10/13,685161,177,339,4113,3774,
2021/10/14,570015,86,196,3883,3687,
2021/10/15,618737,80,182,3823,3641,
2021/10/18,773698,172,265,3913,3648,
2021/10/19,528011,90,141,3867,3726,
2021/10/20,37569,10,10,3485,3475,
2021/10/21,356675,63,251,3531,3280,
2021/10/22,491639,91,257,3377,3120,
2021/10/25,645520,82,104,3265,3161,
2021/10/26,889125,172,172,3216,3044,
2021/10/27,953143,194,233,3105,2872,
2021/10/28,467346,70,251,2895,2644,
2021/10/29,784746,95,131,2904,2773,
2021/11/1,622752,79,118,2979,2861,
2021/11/2,527277,64,203,2868,2665,
2021/11/3,446729,84,188,2950,2762,
2021/11/4,467338,60,112,2907,2795,
2021/11/5,461947,43,106,2873,2767,
2021/11/8,445787,80,122,2920,2798,
2021/11/9,301933,50,79,2845,2766,
2021/11/10,493692,59,130,2734,2604,
2021/11/11,448409,58,125,2774,2649,
2021/11/12,359249,35,134,2678,2544,
2021/11/15,513107,80,97,2593,2496,
2021/11/16,258662,29,63,2606,2543,
2021/11/17,346849,58,94,2593,2499,
2021/11/18,359038,37,80,2567,2487,
2021/11/19,340821,45,126,2641,2515,
2021/11/22,419940,47,59,2672,2613,
2021/11/23,362258,57,89,2728,2639,
2021/11/24,327493,40,72,2781,2709,
2021/11/25,418256,74,96,2761,2665,
2021/11/26,365753,47,96,2727,2631,
2021/11/29,460534,59,93,2684,2591,
2021/11/30,238084,35,50,2662,2612,
2021/12/1,282195,49,90,2719,2629,
2021/12/2,280747,34,56,2681,2625,
2021/12/3,237707,52,73,2651,2578,
2021/12/6,231484,36,61,2714,2653,
2021/12/7,198966,36,92,2710,2618,
2021/12/8,333278,80,86,2660,2574,
2021/12/9,185834,38,106,2677,2571,
2021/12/10,148840,42,67,2672,2605,
2021/12/13,278334,71,109,2729,2620,
2021/12/14,160838,41,41,2726,2685,
2021/12/15,211425,30,36,2587,2551,
2021/12/16,228470,24,104,2650,2546,
2021/12/17,214405,25,39,2690,2651,
2021/12/20,359690,62,111,2718,2607,
2021/12/21,349994,55,61,2616,2555,
2021/12/22,220835,23,68,2598,2530,
2021/12/23,235107,28,32,2580,2548,
2021/12/24,161030,16,61,2645,2584,
2021/12/27,365969,43,84,2611,2527,
2021/12/28,227090,20,57,2561,2504,
2021/12/29,238531,25,31,2559,2528,
2021/12/30,195946,29,41,2559,2518,
2021/12/31,313870,43,53,2527,2474,
2022/1/4,669046,70,93,2607,2514,
2022/1/5,193121,26,33,2591,2558,
2022/1/6,163939,18,60,2621,2561,
2022/1/7,185562,19,63,2644,2581,
2022/1/10,210637,31,60,2662,2602,
2022/1/11,176260,16,35,2573,2538,
2022/1/12,207573,22,33,2586,2553,
2022/1/13,155177,22,45,2638,2593,
2022/1/14,201688,29,78,2717,2639,
2022/1/17,235593,37,37,2724,2687,
2022/1/18,135858,22,107,2777,2670,
2022/1/19,409864,60,94,2880,2786,
2022/1/20,297782,40,42,2830,2788,
2022/1/21,368684,53,79,2823,2744,
2022/1/24,481583,86,96,2860,2764,
2022/1/25,135732,22,52,2786,2734,
2022/1/26,118153,20,69,2845,2776,
2022/1/27,161394,35,54,2858,2804,
2022/1/28,189625,57,97,2902,2805,
2022/2/7,321988,56,76,2979,2903,
2022/2/8,222191,68,78,2986,2908,
2022/2/9,140459,31,77,2891,2814,
2022/2/10,138813,29,59,2823,2764,
2022/2/11,238946,34,89,2794,2705,
2022/2/14,285976,46,64,2801,2737,
2022/2/15,163103,26,45,2779,2734,
2022/2/16,162490,36,55,2776,2721,
2022/2/17,256158,29,38,2719,2681,
2022/2/18,144989,35,75,2783,2708,
2022/2/21,221391,44,46,2790,2744,
2022/2/22,182399,28,83,2846,2763,
2022/2/23,147239,27,47,2834,2787,
2022/2/24,156077,20,69,2873,2804,
2022/2/25,158409,33,143,2852,2709,
2022/2/28,436379,84,88,2908,2820,
2022/3/1,162256,36,70,2950,2880,
2022/3/2,276353,60,104,3068,2964,
2022/3/3,313358,73,125,3159,3034,
2022/3/4,165964,46,119,3142,3023,
2022/3/7,443704,124,176,3324,3148,
2022/3/8,200963,54,108,3315,3207,
2022/3/9,187856,44,126,3369,3243,
2022/3/10,353964,82,111,3129,3018,
2022/3/11,251999,63,76,3159,3083,
2022/3/14,243016,77,112,3099,2987,
2022/3/15,215310,53,91,2996,2905,
2022/3/16,149436,37,54,2962,2908,
2022/3/17,94449,20,56,2941,2885,
2022/3/18,152953,35,35,3030,2995,
2022/3/21,162248,26,72,3077,3005,
2022/3/22,192672,39,58,3135,3077,
2022/3/23,125806,33,49,3096,3047,
2022/3/24,197358,62,104,3128,3024,
2022/3/25,157914,68,110,3130,3020,
2022/3/28,226932,42,85,3165,3080,
2022/3/29,139923,28,49,3077,3028,
2022/3/30,177083,34,42,3041,2999,
2022/3/31,196551,30,87,2977,2890,
2022/4/1,144879,35,51,2927,2876,
2022/4/6,182650,40,68,2977,2909,
2022/4/7,204546,69,69,2991,2922,
2022/4/8,121543,40,66,2913,2847,
2022/4/11,171649,44,64,2838,2774,
2022/4/12,88630,26,45,2854,2809,
2022/4/13,90092,46,46,2885,2839,
2022/4/14,52567,22,42,2905,2863,
2022/4/15,157192,22,79,2942,2863,
2022/4/18,210406,20,39,2995,2956,
2022/4/19,135816,23,54,3023,2969,
2022/4/20,126301,19,54,2994,2940,
2022/4/21,151900,31,39,2966,2927,
2022/4/22,338605,61,84,2954,2870,
2022/4/25,378153,56,86,2800,2714,
2022/4/26,232262,24,47,2763,2716,
2022/4/27,159116,22,114,2765,2651,
2022/4/28,199011,30,46,2713,2667,
2022/4/29,157672,29,57,2728,2671,
2022/5/5,373915,57,102,2797,2695,
2022/5/6,214502,21,36,2794,2758,
2022/5/9,308214,45,45,2713,2668,
2022/5/10,467106,54,74,2670,2596,
2022/5/11,375459,80,90,2706,2616,
2022/5/12,281535,46,83,2745,2662,
2022/5/13,238495,20,65,2775,2710,
2022/5/16,315954,40,40,2801,2761,
2022/5/17,304179,39,46,2812,2766,
2022/5/18,211520,28,60,2746,2686,
2022/5/19,283992,40,52,2732,2680,
2022/5/20,262562,36,83,2785,2702,
2022/5/23,369714,47,53,2823,2770,
2022/5/24,307598,31,62,2787,2725,
2022/5/25,213832,19,55,2740,2685,
2022/5/26,299696,22,83,2805,2722,
2022/5/27,276058,27,35,2824,2789,
2022/5/30,419361,48,59,2829,2770,
2022/5/31,235943,23,66,2849,2783,
2022/6/1,263034,27,83,2883,2800,
2022/6/2,296439,37,37,2871,2834,
2022/6/6,483424,56,56,2903,2847,
2022/6/7,179187,25,42,2904,2862,
2022/6/8,246136,27,33,2961,2928,
2022/6/9,316400,29,78,2964,2886,
2022/6/10,224151,26,40,2926,2886,
2022/6/13,520834,71,75,2947,2872,
2022/6/14,371046,35,69,2955,2886,
2022/6/15,278971,46,112,2952,2840,
2022/6/16,245164,31,50,2845,2795,
2022/6/17,219328,24,31,2787,2756,
2022/6/20,479724,56,78,2744,2666,
2022/6/21,272027,24,54,2722,2668,
2022/6/22,329746,39,73,2717,2644,
2022/6/23,287772,54,86,2685,2599,
2022/6/24,312931,39,106,2646,2540,
2022/6/27,362757,47,54,2593,2539,
2022/6/28,283071,22,46,2637,2591,
2022/6/29,220347,34,52,2658,2606,
2022/6/30,231339,18,29,2654,2625,
2022/7/1,266764,37,71,2605,2534,
2022/7/4,321717,36,58,2565,2507,
2022/7/5,288335,37,37,2582,2545,
2022/7/6,236791,29,58,2495,2437,
2022/7/7,171376,22,108,2574,2466,
2022/7/8,231571,36,75,2558,2483,
2022/7/11,446201,66,133,2506,2373,
2022/7/12,433607,54,64,2378,2314,
2022/7/13,375265,48,53,2363,2310,
2022/7/14,301219,33,58,2377,2319,
2022/7/15,300144,32,69,2367,2298,
2022/7/18,371142,51,74,2398,2324,
2022/7/19,250220,30,74,2397,2323,
2022/7/20,391059,52,65,2444,2379,